station_code,station_name,line,sequence,is_interchange,next_station_code,latitude,longitude,distance_to_next_km,line_color
MDVR,Madavara,Green Line,1,0,CKBK,13.0705,77.466,1.64,#00A651
CKBK,Chikkabidarakallu,Green Line,2,0,MJNG,13.0615,77.478,1.39,#00A651
MJNG,Manjunathnagara,Green Line,3,0,NGSA,13.055,77.489,1.43,#00A651
NGSA,Nagasandra,Green Line,4,0,DSH,13.048,77.5001,1.43,#00A651
DSH,Dasarahalli,Green Line,5,0,JLHL,13.0433,77.5124,0.9,#00A651
JLHL,Jalahalli,Green Line,6,0,PYID,13.0394,77.5197,0.71,#00A651
PYID,Peenya Industry,Green Line,7,0,PEYA,13.0363,77.5254,0.93,#00A651
PEYA,Peenya,Green Line,8,0,YGTP,13.0328,77.5332,0.96,#00A651
YGTP,Goraguntepalya,Green Line,9,0,YPM,13.0284,77.5408,1.14,#00A651
YPM,Yeshwanthpur,Green Line,10,0,SSFY,13.0232,77.5499,1.04,#00A651
SSFY,Sandal Soap Factory,Green Line,11,0,MHLI,13.0147,77.5539,0.91,#00A651
MHLI,Mahalakshmi,Green Line,12,0,RJNR,13.0082,77.5488,0.88,#00A651
RJNR,Rajajinagar,Green Line,13,0,KVPR,13.0003,77.5497,0.82,#00A651
KVPR,Mahakavi Kuvempu Road,Green Line,14,0,SPRU,12.9985,77.557,0.73,#00A651
SPRU,Srirampura,Green Line,15,0,SPGD,12.9965,77.5634,1.04,#00A651
SPGD,Mantri Square Sampige Road,Green Line,16,0,KGWA,12.9905,77.5708,1.66,#00A651
KGWA,"Nadaprabhu Kempegowda Station, Majestic",Green Line,17,1,CKPE,12.9757,77.5729,1.02,#00A651
CKPE,Chickpete,Green Line,18,0,KRMT,12.9667,77.5747,0.62,#00A651
KRMT,Krishna Rajendra Market,Green Line,19,0,NLC,12.9611,77.5748,1.17,#00A651
NLC,National College,Green Line,20,0,LBGH,12.9506,77.5737,0.83,#00A651
LBGH,Lalbagh,Green Line,21,0,SECE,12.9464,77.58,0.89,#00A651
SECE,South End Circle,Green Line,22,0,JYN,12.9384,77.5801,0.98,#00A651
JYN,Jayanagar,Green Line,23,0,RVR,12.9296,77.5802,0.9,#00A651
RVR,Rashtreeya Vidyalaya Road,Green Line,24,1,BSNK,12.9215,77.5801,0.96,#00A651
BSNK,Banashankari,Green Line,25,0,JPN,12.9156,77.5736,0.91,#00A651
JPN,Jayaprakash Nagar,Green Line,26,0,PUTH,12.9074,77.5732,1.31,#00A651
PUTH,Yelachenahalli,Green Line,27,0,APRC,12.896,77.5702,1.64,#00A651
APRC,Konanakunte Cross,Green Line,28,0,KLPK,12.8818,77.566,0.93,#00A651
KLPK,Doddakallasandra,Green Line,29,0,VJRH,12.874,77.563,1.16,#00A651
VJRH,Vajarahalli,Green Line,30,0,TGTP,12.8645,77.5585,1.58,#00A651
TGTP,Thalaghattapura,Green Line,31,0,APTS,12.8565,77.5465,0.82,#00A651
APTS,Silk Institute,Green Line,32,0,,12.85,77.543,,#00A651
WHTM,Whitefield (Kadugodi),Purple Line,1,0,UWVL,12.9952,77.7578,0.91,#9B2FAE
UWVL,Hopefarm Channasandra,Purple Line,2,0,KDGD,12.9879,77.7541,0.81,#9B2FAE
KDGD,Kadugodi Tree Park,Purple Line,3,0,ITPL,12.9857,77.747,0.91,#9B2FAE
ITPL,Pattandur Agrahara,Purple Line,4,0,SSHP,12.987,77.7387,1.37,#9B2FAE
SSHP,Sri Sathya Sai Hospital,Purple Line,5,0,VDHP,12.9812,77.7275,0.58,#9B2FAE
VDHP,Nallurhalli,Purple Line,6,0,KDNH,12.9766,77.7249,1.01,#9B2FAE
KDNH,Kundalahalli,Purple Line,7,0,VWIA,12.9776,77.7156,0.82,#9B2FAE
VWIA,Seetharampalya,Purple Line,8,0,DKIA,12.9809,77.7088,1.84,#9B2FAE
DKIA,Hoodi,Purple Line,9,0,GDCP,12.9928,77.697,0.74,#9B2FAE
GDCP,Garudacharapalya,Purple Line,10,0,MDVP,12.9936,77.7038,2.01,#9B2FAE
MDVP,Singayyanapalya,Purple Line,11,0,KRAM,12.9963,77.6855,0.92,#9B2FAE
KRAM,Krishnarajapura (K.R.Pura),Purple Line,12,1,BNGH,12.99999,77.67794,1.19,#9B2FAE
BNGH,Benniganahalli,Purple Line,13,0,BYPL,12.999,77.667,1.82,#9B2FAE
BYPL,Baiyappanahalli,Purple Line,14,0,SVRD,12.99076,77.65247,1.22,#9B2FAE
SVRD,Swami Vivekananda Road,Purple Line,15,0,IDN,12.9853,77.6427,0.86,#9B2FAE
IDN,Indiranagar,Purple Line,16,0,HLRU,12.9786,77.6388,1.88,#9B2FAE
