station_name,station_name_kannada,line,opened_date,day,layout,station_code
Madavara,ಮಾದಾವರ,Green Line,07-Nov-2024,Thursday,Elevated,MDVR
Chikkabidarakallu,ಚಿಕ್ಕಬಿದರಕಲ್ಲು,Green Line,07-Nov-2024,Thursday,Elevated,CKBK
Manjunathnagara,ಮಂಜುನಾಥನಗರ,Green Line,07-Nov-2024,Thursday,Elevated,MJNG
Nagasandra,ನಾಗಸಂದ್ರ,Green Line,01-May-2015,Friday,Elevated,NGSA
Dasarahalli,ದಾಸರಹಳ್ಳಿ,Green Line,01-May-2015,Friday,Elevated,DSH
Jalahalli,ಜಾಲಹಳ್ಳಿ,Green Line,01-May-2015,Friday,Elevated,JLHL
Peenya Industry,ಪೀಣ್ಯ ಇಂಡಸ್ಟ್ರಿ,Green Line,01-Mar-2014,Saturday,Elevated,PYID
Peenya,ಪೀಣ್ಯ,Green Line,01-Mar-2014,Saturday,Elevated,PEYA
Goraguntepalya,ಗೊರಗುಂಟೆಪಾಳ್ಯ,Green Line,01-Mar-2014,Saturday,Elevated,YGTP
Yeshwanthpur,ಯಶವಂತಪುರ,Green Line,01-Mar-2014,Saturday,Elevated,YPM
Sandal Soap Factory,ಸ್ಯಾಂಡಲ್ ಸೋಪ್ ಫ್ಯಾಕ್ಟರಿ,Green Line,01-Mar-2014,Saturday,Elevated,SSFY
Mahalakshmi,ಮಹಾಲಕ್ಷ್ಮೀ,Green Line,01-Mar-2014,Saturday,Elevated,MHLI
Rajajinagar,ರಾಜಾಜಿನಗರ,Green Line,01-Mar-2014,Saturday,Elevated,RJNR
Mahakavi Kuvempu Road,ಮಹಾಕವಿ ಕುವೆಂಪು ರಸ್ತೆ,Green Line,01-Mar-2014,Saturday,Elevated,KVPR
Srirampura,ಶ್ರೀರಾಮ್‍ಪುರ,Green Line,01-Mar-2014,Saturday,Elevated,SPRU
Mantri Square Sampige Road,"ಮಂತ್ರಿವಿ ಸ್ಕ್ವೇರ್, ಸಂಪಿಗೆ ರಸ್ತೆ",Green Line,01-Mar-2014,Saturday,Elevated,SPGD
"Nadaprabhu Kempegowda Station, Majestic","ನಾಡಪ್ರಭು ಕೆಂಪೇಗೌಡ ನಿಲ್ದಾಣ, ಮೆಜೆಸ್ಟಿಕ್",Green Line,18-Jun-2017,Sunday,Underground,KGWA
Chickpete,ಚಿಕ್ಕಪೇಟೆ,Green Line,18-Jun-2017,Sunday,Underground,CKPE
Krishna Rajendra Market,ಕೃಷ್ಣ ರಾಜೇಂದ್ರ ಮಾರುಕಟ್ಟೆ,Green Line,18-Jun-2017,Sunday,Underground,KRMT
National College,ನ್ಯಾಷನಲ್ ಕಾಲೇಜ್,Green Line,18-Jun-2017,Sunday,Elevated,NLC
